PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
DE-I-15014,"TOP SHELF IMPORTS, INC.",TOP SHELF IMPORTS,1616 BOLTON RD,WILMINGTON,DE,19810,1649,NEW CASTLE
DE-I-15017,HPNM IMPORTS INCORPORATED, ,40 E MAIN ST,NEWARK,DE,19711,4639,NEW CASTLE
DE-I-15018,"PARK AVENUE IMPORTS, LLC", ,24 CRAGMERE  RD,WILMINGTON,DE,19809,2309,NEW CASTLE
DE-I-15022,"ENDANGERED WINES, LLC",ENDANGERED WINES,100 PHILADELPHIA PIKE,WILMINGTON,DE,19809,3180,NEW CASTLE
DE-I-15023,JMT INTER. LLC, ,109 W 8TH ST,WILMINGTON,DE,19801,1799,NEW CASTLE
DE-I-15024,BLUE DECANTER LLC, ,16192 COASTAL HWY,LEWES,DE,19958,3608,SUSSEX
DE-I-15025,"PURPLE BARREL IMPORTS, LLC", ,518 BAY AVE,MILFORD,DE,19963,4914,SUSSEX
DE-I-15026,"CW SELECTION, INC.", ,16192 COASTAL HWY,LEWES,DE,19958,3608,SUSSEX
DE-I-15027,"SORVINO WINES, L.L.C.", ,131 CONTINENTAL DR,NEWARK,DE,19713,4308,NEW CASTLE
DE-I-15028,"TEXAVINO, LLC",TEXAVINO,3422 OLD CAPITOL TRL,WILMINGTON,DE,19808,6124,NEW CASTLE
DE-I-15029,ACME SPIRITS LLC, ,3500 S DUPONT HWY,DOVER,DE,19901,6041,KENT
DE-I-15030,PM SPIRITS LLC, ,1220 N MARKET ST,WILMINGTON,DE,19801,2595,NEW CASTLE
DE-I-15031,CN IMPORTS LLC, ,1201 N ORANGE ST,WILMINGTON,DE,19801,1186,NEW CASTLE
DE-I-15033,"PERLA USA, LLC",PERLA USA,19C TROLLEY SQ,WILMINGTON,DE,19806,3355,NEW CASTLE
DE-I-15034,MALIBU BRAND CONSULTING & INVESTMENT LLC, ,40 E MAIN ST,NEWARK,DE,19711,0,NEW CASTLE
DE-I-21001,"LOCAL INFUSIONS, LLC", ,1201 N ORANGE ST,WILMINGTON,DE,19801,1173,New Castle
DE-I-21002,"ELENEZ & NUGENT DISTRIBUTIONS, LLC", ,2711 CENTERVILLE RD,WILMINGTON,DE,19808,1645,New Castle
DE-I-21003,EKLEKTIKON LLC, ,1201 N ORANGE ST,WILMINGTON,DE,19801,1186, 
DE-I-21004,"EXCELSIOR WINE COMPANY, LLC", ,1209 ORANGE ST,WILMINGTON,DE,19801,1120, 
DE-I-21006,420 SPIRITS INC., ,1521 CONCORD PIKE,WILMINGTON,DE,19803,0,NEW CASTLE
DE-I-21007,D&S SPIRITS LLC,D&S SPIRITS,902 N MARKET ST,WILMINGTON,DE,19801,3025,New Castle
DE-I-21008,"LITTLE PEACOCK IMPORTS, LLC", ,605  N MARKET ST,WILMINGTON,DE,19801,0, 
DE-I-21009,ESOTERIC BRANDS INTERNATIONAL LLC, ,2711  CENTERVILLE RD,WILMINGTON,DE,19806,1645, 
DE-I-21010,IMAGE WINE CELLARS INC., ,3002  STONE PL,NEWARK,DE,19702,4418,New Castle
DE-I-21011,OPERA WINE OF DELAWARE LLP, ,216  WEBB ST,WILMINGTON,DE,19805,3313, 
DE-I-21012,"PROJECT SPIRITS, LLC",PROJECT SPIRITS,16192  COASTAL HWY,LEWES,DE,19958,3608,Sussex
DE-I-21013,99IMPORTS LLC,99IMPORTS,2207  CONCORD PIKE,WILMINGTON,DE,19803,0, 
DE-I-21014,"REGAL WINE IMPORTS, INC.", ,45  GERMAY DR,WILMINGTON,DE,19804,0,New Castle
DE-I-21015,BELGIAN BEER MOMENTS LLC, ,4  E 8TH ST,WILMINGTON,DE,19801,0,USA
DE-I-21016,SANG DE LA TERRE LTD, ,314  ROBINSON LANE LN,WILMINGTON,DE,19805,0,New Castle
